Country/Region;Confirmed;Deaths;Recovered;Active;New cases;New deaths;New recovered;Deaths / 100 Cases;Recovered / 100 Cases;Deaths / 100 Recovered;Confirmed last week;1 week change;1 week % increase;WHO Region
Singapore;50838;27;45692;5119;469;0;171;5;8988;0.06;48035;2803;584;Western Pacific
Slovakia;2181;28;1616;537;2;0;39;128;7409;1.73;1980;201;1015;Europe
Slovenia;2087;116;1733;238;5;0;55;556;8304;6.69;1953;134;686;Europe
Somalia;3196;93;1543;1560;18;0;22;0,000;4828;6.03;3130;66;211;Eastern Mediterranean
South Africa;452529;7067;274925;170537;7096;298;9848;156;6075;2.57;373628;78901;2112;Africa
South Korea;14203;300;13007;896;28;1;102;211;9158;2.31;13816;387;28;Western Pacific
South Sudan;2305;46;1175;1084;43;1;0;20;5098;3.91;2211;94;425;Africa
Spain;272421;28432;150376;93613;0;0;0;1044;552;18.91;264836;7585;286;Europe
Sri Lanka;2805;11;2121;673;23;0;15;39;7561;0.52;2730;75;275;South-East Asia
Sudan;11424;720;5939;4765;39;3;49;63;5199;12.12;10992;432;393;Eastern Mediterranean
Suriname;1483;24;925;534;44;1;35;162;6237;2.59;1079;404;3744;Americas
Sweden;79395;5700;0;73695;398;3;0;718;0;inf;78048;1347;173;Europe
Switzerland;34477;1978;30900;1599;65;1;200;574;8962;6.4;33634;843;251;Europe
Syria;674;40;0;634;24;2;0;593;0;inf;522;152;2912;Eastern Mediterranean
Taiwan*;462;7;440;15;4;0;0;152;9524;1.59;451;11;244;Western Pacific
Tajikistan;7235;60;6028;1147;43;1;58;83;8332;1.0;6921;314;454;Europe
Tanzania;509;21;183;305;0;0;0;413;3595;11.48;509;0;0;Africa
Thailand;3297;58;3111;128;6;0;2;176;9436;1.86;3250;47;145;South-East Asia
Timor-Leste;24;0;0;24;0;0;0;0;0;0.0;24;0;0;South-East Asia
Togo;874;18;607;249;6;0;8;206;6945;2.97;783;91;1162;Africa
Trinidad and Tobago;148;8;128;12;1;0;0;541;8649;6.25;137;11;803;Americas
Tunisia;1455;50;1157;248;3;0;15;344;7952;4.32;1381;74;536;Eastern Mediterranean
Turkey;227019;5630;210469;10920;919;17;982;248;9271;2.67;220572;6447;292;Europe
US;4290259;148011;1325804;2816444;56336;1076;27941;345;309;11.16;3834677;455582;1188;Americas
Uganda;1128;2;986;140;13;0;4;18;8741;0.2;1069;59;552;Africa
Ukraine;67096;1636;37202;28258;835;11;317;244;5545;4.4;60767;6329;1042;Europe
United Arab Emirates;59177;345;52510;6322;264;1;328;58;8873;0.66;57193;1984;347;Eastern Mediterranean
United Kingdom;301708;45844;1437;254427;688;7;3;1519;48;3190.26;296944;4764;16;Europe
Uruguay;1202;35;Cinco;216;10;1;3;291;7912;3.68;1064;138;1297;Americas
Uzbekistan;21209;121;11674;9414;678;5;569;57;5504;1.04;17149;4060;2367;Europe
Venezuela;15988;146;9959;5883;525;4;213;91;6229;1.47;12334;3654;2963;Americas
Vietnam;431;0;365;66;11;0;0;0;8469;0.0;384;47;1224;Western Pacific
West Bank and Gaza;10621;78;3752;6791;152;2;0;73;3533;2.08;8916;1705;1912;Eastern Mediterranean
Western Sahara;10;1;8;1;0;;0;100;800;12.5;10;0;0;Africa
Yemen;1691;483;833;375;10;4;36;2856;4926;57.98;1619;72;445;Eastern Mediterranean
Zambia;4552;140;2815;1597;71;1;465;308;6184;4.97;3326;1226;3686;Africa
Zimbabwe;2704;36;542;2126;192;2;24;133;2004;6.64;1713;991;5785;Africa
